Metric,Mean,HalfWidth95,CI95_Lower,CI95_Upper
L1_system,2.02872937676519,0.00746958179066256,2.02125979497452,2.03619895855585
L2_system,1.14683785718282,0.00692936679871866,1.1399084903841,1.15376722398154
L1_queue,1.52862126642081,0.00720939494796829,1.52141187147284,1.53583066136877
L2_queue,0.813762066701079,0.00683632925120399,0.806925737449875,0.820598395952283
Wq1,6.11346307079763,0.026986824055486,6.08647624674214,6.14044989485311
Wq2,9.77302603676474,0.0808604078097278,9.69216562895501,9.85388644457447
T1_node1,8.11356741735836,0.0272759146897301,8.08629150266863,8.14084333204809
T2_node1,13.7731897328974,0.0808170821129651,13.6923726507844,13.8540068150104
T_node2_station,8.52257445876149,0.0132248961281798,8.50934956263331,8.53579935488967
P_redirect_router,0.0197459040991781,0.00026727102287991,0.0194786330762981,0.020013175122058
P_redirect_external,0.0172776655942569,0.000234981668961626,0.0170426839252953,0.0175126472632185
